Schulname;Dienststellenschlüssel;school_type1;school_type2;school_type3;school_type4;school_type5;school_type6;Partner;Aktivitaet;Type_narrow;Type_broad
Robert-Härtwig-Schule Oschatz, Oberschule;SN-4430856;Mittelschule;;;;;;Arbeitsagentur Oschatz, Herr Thau;Keine Angabe;Agentur für Arbeit;Öffentliche Infrastruktur
30. Oberschule Dresden;SN-4330247;Mittelschule;;;;;;Jugendamt Dresden, Innere Neustadt;Keine Angabe;Amt;Öffentliche Infrastruktur
"50. Grundschule Dresden Gertrud Caspari """0. Grundschule Dr"""0. Grundschule Dresd";SN-4310157;Grundschule;;;;;;Jugendhilfe, Stadtteilrunde OA Klotzsche;einzelne Schüler und Hilfen für ElternAdventskalender - TürangebotHerbstfest;Amt;Öffentliche Infrastruktur
Alte Reusaer Schule, Schule für Erziehungshilfe;SN-4520102;Schule für Erziehungshilfe;;;;;;Jugendamt Stadt Plauen, Vogtlandkreis;Keine Angabe;Amt;Öffentliche Infrastruktur
Andert-Oberschule Ebersbach;SN-4130977;Mittelschule;;;;;;LRA Löbau-Zittau, Jugendamt;Keine Angabe;Amt;Öffentliche Infrastruktur
Anton-Philipp-Reclam-Schule - Gymnasium des Deutsch-Französischen Bildungszentrums der Stadt Leipzig;SN-4440400;Gymnasium;;;;;;Amt für Familie, Jugend und Bildung der Stadt Leipzig;Keine Angabe;Amt;Öffentliche Infrastruktur
Bertolt-Brecht-Gymnasium;SN-4240537;Gymnasium;;;;;;Landratsamt Erzgebirgskreis, Jugendamt;Keine Angabe;Amt;Öffentliche Infrastruktur
Christoph-Arnold-Schule - Grundschule der Stadt Leipzig;SN-4410213;Grundschule;;;;;;Gesundheitsamt, Kinder-und Jugendärztlicher Dienst Süd;Keine Angabe;Amt;Öffentliche Infrastruktur
Fachschulzentrum Freiberg-Zug Fachschulen für Hauswirtschaft, Agrartechnik, Agrarwirtschaft;SN-4250809; Fachschule;;;;;;Sächsisches Landesamt für Umwelt, Landwirtschaft und Geologi;gegenseitige Unterstützung bei der fachlichen Bildung;Amt;Öffentliche Infrastruktur
"Förderschule An der Goethestraße " Riesa, Schule zur Lernförderung mit Klassen für Erziehungshilfe""örderschule "An der Goethestraße " Riesa, Schule zur Lernförderung mit Klassen für Er""rderschule "An der Goethestraße " Riesa, Schule zur Lernförderung mit Kl""derschule "An der Goethestraße " Riesa, Schule zur Lernförde""erschule "An der Goethestraße " Riesa, Schule zur""rschule "An der Goethestraße " Riesa, S""schule "An der Goethestraße " ""chule "An der Goethest""hule "An der Go""ule "An d""le """"""örderschule An der Goethestraße " Riesa, Schule zur Lernförderung mit Klassen für Erziehungshilfe""örderschule "An der Goethestraße " Riesa, Schule zur Lernförderung mit Klassen für Er""rderschule "An der Goethestraße " Riesa, Schule zur Lernförderung mit Kl""derschule "An der Goethestraße " Riesa, Schule zur Lernförde""erschule "An der Goethestraße " Riesa, Schule zur""rschule "An der Goethestraße " Riesa, S""schule "An der Goethestraße " ""chule "An der Goethest""hu""rderschule An der Goethestraße " Riesa, Schule zur Lernförderung mit Klassen für Erziehungshilfe""örderschule "An der Goethestraße " Riesa, Schule zur Lernförderung mit Klassen für Er""rderschule "An der Goethestraße " Riesa, Schule zur Lernförderung mit Kl""derschule "An der Goethestraße " Riesa, Schule zur Lernförde""erschule "An der Goethestraße " Riesa, Schule zur""rschule "An der Goethestraße " Riesa, S""schule "An der Goethestraß""derschule An der Goethestraße " Riesa, Schule zur Lernförderung mit Klassen für Erziehungshilfe""örderschule "An der Goethestraße " Riesa, Schule zur Lernförderung mit Klassen für Er""rderschule "An der Goethestraße " Riesa, Schule zur Lernförderung mit Kl""derschule "An der Goethestraße " Riesa, Schule zur Lernförde""erschule "An der Goethestraße " Riesa, Schule zur""rschule "An der Goethestraße " Riesa""erschule An der Goethestraße " Riesa, Schule zur Lernförderung mit Klassen für Erziehungshilfe""örderschule "An der Goethestraße " Riesa, Schule zur Lernförderung mit Klassen für Er""rderschule "An der Goethestraße " Riesa, Schule zur Lernförderung mit Kl""derschule "An der Goethestraße " Riesa, Schule zur Lernförde""erschule "An der Goethestraße " Riesa, Schule zur""rschul""rschule An der Goethestraße " Riesa, Schule zur Lernförderung mit Klassen für Erziehungshilfe""örderschule "An der Goethestraße " Riesa, Schule zur Lernförderung mit Klassen für Er""rderschule "An der Goethestraße " Riesa, Schule zur Lernförderung mit Kl""derschule "An der Goethestraße " Riesa, Schule zur Lernförde""erschule "An der Goethestraß""schule An der Goethestraße " Riesa, Schule zur Lernförderung mit Klassen für Erziehungshilfe""örderschule "An der Goethestraße " Riesa, Schule zur Lernförderung mit Klassen für Er""rderschule "An der Goethestraße " Riesa, Schule zur Lernförderung mit Kl""derschule "An der Goethestraße " Riesa, Schule zur Lernförde""""chule An der Goethestraße " Riesa, Schule zur Lernförderung mit Klassen für Erziehungshilfe""örderschule "An der Goethestraße " Riesa, Schule zur Lernförderung mit Klassen für Er""rderschule "An der Goethestraße " Riesa, Schule zur Lernförderung mit Kl""derschule "An der Goethestraße " Ri""hule An der Goethestraße " Riesa, Schule zur Lernförderung mit Klassen für Erziehungshilfe""örderschule "An der Goethestraße " Riesa, Schule zur Lernförderung mit Klassen für Er""rderschule "An der Goethestraße " Riesa, Schule zur Lernförderung mit Kl""derschule""ule An der Goethestraße " Riesa, Schule zur Lernförderung mit Klassen für Erziehungshilfe""örderschule "An der Goethestraße " Riesa, Schule zur Lernförderung mit Klassen für Er""rderschule "An der Goethestraße " Riesa, Schule zur Lernfö""le An der Goethestraße " Riesa, Schule zur Lernförderung mit Klassen für Erziehungshilfe""örderschule "An der Goethestraße " Riesa, Schule zur Lernförderung mit Klassen für Er""rderschule "An der Goethestraße " ""e An der Goethestraße " Riesa, Schule zur Lernförderung mit Klassen für Erziehungshilfe""örderschule "An der Goethestraße " Riesa, Schule zur Lernförderung mit Klassen für Er""rderschule "" An der Goethestraße " Riesa, Schule zur Lernförderung mit Klassen für Erziehungshilfe""örderschule "An der Goethestraße " Riesa, Schule zur Lernförderung mit Klass""An der Goethestraße " Riesa, Schule zur Lernförderung mit Klassen für Erziehungshilfe""örderschule "An der Goethestraße " Riesa, Schule zur Le""n der Goethestraße " Riesa, Schule zur Lernförderung mit Klassen für Erziehungshilfe""örderschule "An der Goethestraße " "" der Goethestraße " Riesa, Schule zur Lernförderung mit Klassen für Erziehungshilfe""örderschule "An ""der Goethestraße " Riesa, Schule zur Lernförderung mit Klassen für Erziehungshilfe""er Goethestraße " Riesa, Schule zur Lernförderung mit Klassen fü""r Goethestraße " Riesa, Schule zur Lernförderun"" Goethestraße " Riesa, Schule z""Goethestraße " R""oe";SN-4320438;Schule zur Lernförderung;;;;;;Sächsische Bildungsagentur, Regionalstelle Dresden;Ausübung der Schul- und FachaufsichtKooperation bei der Bereitstellung personeller RessourcenBeratung bei der inhaltlichen Ausgestaltung der Schule;Amt;Öffentliche Infrastruktur
Fröbelschule Rödgen, Schule für geistig Behinderte;SN-4420170;Schule für geistig Behinderte;;;;;;Landkreis Nordsachsen, Jugendamt;Keine Angabe;Amt;Öffentliche Infrastruktur
Geschwister-Scholl-Gymnasium Löbau;SN-4140182;Gymnasium;;;;;;Jugendhilfe, Landratsamt;Keine Angabe;Amt;Öffentliche Infrastruktur
"Grundschule An den Linden " Lunzenau""rundschule "An den Linde""undschule "A""n"""rundschule An den Linden " Lunzenau""rundschule "An d""undschule An den Linden " L""nd";SN-4211413;Grundschule;;;;;;Landratsamt Mittweida, Diakonie Rochlitz;Keine Angabe;Amt;Öffentliche Infrastruktur
"Grundschule am Adler Handrij Zejler """rundschule am Ad"""rundschule am Adler";SN-4110482;Grundschule;;;;;;Jugendhilfe Hoyerswerda, Lebenshilfe;Unterstützung bei der Erziehungsarbeit Fortbildungsveranstaltungen;Amt;Öffentliche Infrastruktur
Grundschule Belgershain;SN-4411187;Grundschule;;;;;;Jugendamt Grimma, Landratsamt;Unterstützung bei Problemen der Familienerziehung;Amt;Öffentliche Infrastruktur
Grundschule Pesterwitz;SN-4311189;Grundschule;;;;;;Jugendamt , kirchliche Einrichtungen;Keine Angabe;Amt;Öffentliche Infrastruktur
Grundschule Schandauer Straße;SN-4311684;Grundschule;;;;;;Jugendamt Sebnitz, Pirna;Keine Angabe;Amt;Öffentliche Infrastruktur
Heinrich-Mann-Schule - Grundschule der Stadt Leipzig;SN-4412433;Grundschule;;;;;;Jugendamt, Abt. Sozialer Dienst Südost;Keine Angabe;Amt;Öffentliche Infrastruktur
Helmholtzschule - Oberschule der Stadt Leipzig;SN-4431169;Mittelschule;;;;;;Stadt Leipzig, Umweltamt;;Amt;Öffentliche Infrastruktur
Jakobus-Oberschule;SN-4530739;Mittelschule;;;;;;Richter Herr Zantke, Amtsgericht Zwickau;Keine Angabe;Amt;Öffentliche Infrastruktur
Johann-Mathesius-Gymnasium;SN-4240347;Gymnasium;;;;;;Landratsamt Freiberg, Jugendamt;Keine Angabe;Amt;Öffentliche Infrastruktur
Nachbarschaftsschule - Grund- und Oberschule der Stadt Leipzig;SN-4412052;Grundschule;Mittelschule;Schulversuch Gemeinschaftsschule;;;;Jugendamt Leipzig, ASD;Keine Angabe;Amt;Öffentliche Infrastruktur
