Schule;ID;school_type;Partner_name;Type_grob;Type_mittel;Type_detail
OSZ Informations- und Medizintechnik;BE-15754;Berufliches Gymnasium;AAP-Programm;Unbestimmt;Modell/Förderprogramm/Projekt;
OSZ Informations- und Medizintechnik;BE-15754;Berufliches Gymnasium;Arbeitskreis Medizintechnik Berlin-Brandenburg;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Bildung/Uni/Hochschule/Forschung);
OSZ Handel 1;BE-16262;Berufliches Gymnasium;Ausbildungszentrum ROC Nijmegen;Öffentliche Infrastruktur;Familien-/Bildungs-/Kulturzentrum;
OSZ Informations- und Medizintechnik;BE-15754;Berufliches Gymnasium;Baumann Bildung & Qualifizierung (BBQ);Wirtschaftsakteur;Wirtschaftsakteur (Bildung);
Louise-Schroeder-Schule (OSZ Bürowirtschaft und Verwaltung);BE-15687;Berufliches Gymnasium;Bildung für Berlin und Brandenburg e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
OSZ Handel 1;BE-16262;Berufliches Gymnasium;Börsenverein des Deutschen Buchhandels e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
OSZ Informations- und Medizintechnik;BE-15754;Berufliches Gymnasium;Bundesarbeitsgemeinschaft der Fachschulen für Medizintechnik;Gemeinnütziger Akteur;Gemeinnütziger Akteur;
OSZ Handel 1;BE-16262;Berufliches Gymnasium;BWK BildungsWerk in Kreuzberg GmbH;Wirtschaftsakteur;Wirtschaftsakteur;
OSZ Informations- und Medizintechnik;BE-15754;Berufliches Gymnasium;Cisco Networking Academy;Wirtschaftsakteur;Wirtschaftsakteur;
OSZ Handel 1;BE-16262;Berufliches Gymnasium;Commerzbank AG;Wirtschaftsakteur;Wirtschaftsakteur;
OSZ Handel 1;BE-16262;Berufliches Gymnasium;Daimler AG;Wirtschaftsakteur;Wirtschaftsakteur;
Louise-Schroeder-Schule (OSZ Bürowirtschaft und Verwaltung);BE-15687;Berufliches Gymnasium;das Oberstufenzentrum kooperiert mit über 500 privaten Betrieben und Behörden auf Bundes- und Landesebene;Unbestimmt;Unklar;
OSZ Informations- und Medizintechnik;BE-15754;Berufliches Gymnasium;DB Systel GmbH (Systempartner der Bahn);Wirtschaftsakteur;Wirtschaftsakteur;
OSZ Handel 1;BE-16262;Berufliches Gymnasium;DekaBank Deutsche Girozentrale;Wirtschaftsakteur;Wirtschaftsakteur;
OSZ Handel 1;BE-16262;Berufliches Gymnasium;Deutsche Rentenversicherung Bund;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Gesundheitswesen/Altersvorsorge);
OSZ Informations- und Medizintechnik;BE-15754;Berufliches Gymnasium;Dienstleistungsgesellschaft für Informatik (DLGI) mbH;Wirtschaftsakteur;Wirtschaftsakteur;
Louise-Schroeder-Schule (OSZ Bürowirtschaft und Verwaltung);BE-15687;Berufliches Gymnasium;Evangelische Berufsschularbeit;Religiöse Einrichtung;Kirchliche Einrichtung;
OSZ Handel 1;BE-16262;Berufliches Gymnasium;Fachhochschule Brandenburg in Brandenburg an der Havel;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Bildung/Uni/Hochschule/Forschung);Universität/Hochschule/Forschungsinstitut
OSZ Handel 1;BE-16262;Berufliches Gymnasium;Goethe-Institut;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
OSZ Informations- und Medizintechnik;BE-15754;Berufliches Gymnasium;Gold und Silberschmiede-Innung Berlin;Verband / Kammer / Innung / Gewerkschaft;Verband / Kammer / Innung;
OSZ Handel 1;BE-16262;Berufliches Gymnasium;Handelsverband Deutschland - HDE e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
OSZ Handel 1;BE-16262;Berufliches Gymnasium;Hauptverband des Einzelhandels;Verband / Kammer / Innung / Gewerkschaft;Verband / Kammer / Innung;
OSZ Informations- und Medizintechnik;BE-15754;Berufliches Gymnasium;Hochschule für Technik und Wirtschaft Berlin (HTW);Öffentliche Infrastruktur;Öffentliche Infrastruktur (Bildung/Uni/Hochschule/Forschung);Universität/Hochschule/Forschungsinstitut
OSZ Handel 1;BE-16262;Berufliches Gymnasium;Industrie- und Handelskammer (IHK) zu Berlin;Verband / Kammer / Innung / Gewerkschaft;Öffentliche Infrastruktur (Amt);
OSZ Handel 1;BE-16262;Berufliches Gymnasium;Institut für Wirtschaftsinformatik der Humboldt-Universität zu Berlin;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Bildung/Uni/Hochschule/Forschung);Universität/Hochschule/Forschungsinstitut
OSZ Handel 1;BE-16262;Berufliches Gymnasium;itw Institut für Aus- und Weiterbildung gGmbH;Gemeinnütziger Akteur;Gemeinnütziger Akteur;gGmbH
