id,ag_name,ag_cat
BE-15586,Astronomie,Naturwissenschaft / Technik
BE-15586,Astrophysik,Naturwissenschaft / Technik
BE-15586,Literatur,Literatur / Medien
BE-15586,Bildende Kunst,Kunst / Kultur
BE-15590,Rudern,Sport
BE-15591,Badminton,Sport
BE-15591,Chor,Musik / Tanz
BE-15591,Computer,Naturwissenschaft / Technik
BE-15591,Fitness,Sport
BE-15591,Elektronik,Naturwissenschaft / Technik
BE-15591,Judo,Sport
BE-15591,Leseratten,Literatur / Medien
BE-15591,Mediation,Gesellschaft / Partizipation
BE-15591,Theater,Kunst / Kultur
BE-15591,Werken,Handwerk
BE-15591,Medienecken,Literatur / Medien
BE-15592,Sportangebote,Sport
BE-15593,Zirkus,Kunst / Kultur
BE-15593,Hockey,Sport
BE-15593,Fußball,Sport
BE-15593,Badminton,Sport
BE-15593,Judo,Sport
BE-15593,Rugby,Sport
BE-15593,Tanzen,Musik / Tanz
BE-15593,Chor,Musik / Tanz
BE-15593,Töpfern,Handwerk
BE-15594,Garten,Umwelt
BE-15594,Chor,Musik / Tanz
BE-15594,Computer,Naturwissenschaft / Technik
BE-15594,Capoeira,Musik / Tanz
BE-15594,Theaterspiel und Kulissenbau,Kunst / Kultur
BE-15594,Farbtanz,Musik / Tanz
BE-15594,Dance for Kids,Musik / Tanz
BE-15594,Schwimmen,Sport
BE-15594,Hockey,Sport
BE-15594,Fußball,Sport
BE-15594,Basketball,Sport
BE-15594,Judo,Sport
BE-15594,Tennis,Sport
BE-15597,Chor,Musik / Tanz
BE-15597,Schach,Sport
BE-15597,Badminton,Sport
BE-15598,Theater,Kunst / Kultur
BE-15598,Mediation,Gesellschaft / Partizipation
BE-15598,Schulband,Musik / Tanz
BE-15598,Russisch,Sprachen
BE-15599,Basketball,Sport
BE-15599,Fußball,Sport
BE-15599,Geräteturnen,Sport
BE-15599,Aerobic,Sport
BE-15599,Rudern,Sport
BE-15599,Fotografie,Literatur / Medien
BE-15599,Theater,Kunst / Kultur
BE-15599,Griechisch,Sprachen
BE-15599,Italienisch,Sprachen
BE-15599,Russisch,Sprachen
BE-15599,DELF-Diplom,Sprachen
BE-15599,Schulhof-AG,Gesellschaft / Partizipation
BE-15599,Mediation,Gesellschaft / Partizipation
BE-15599,Homepage,Naturwissenschaft / Technik
BE-15599,Jazzband,Musik / Tanz
BE-15599,Chor,Musik / Tanz
BE-15599,Orchester,Musik / Tanz
BE-15600,DELF-Diplom,Sprachen
BE-15600,Instrumentalunterricht,Musik / Tanz
BE-15600,Blechbläser,Musik / Tanz
